timestamp,run_id,size,next_pow2,rep,seed,device_id,device_name,compute_capability,sm_count,threads,blocks,h2d_ms,total_kernel_ms,kernel_invocations,d2h_ms,total_ms,throughput_Melems_s,verify_passed
20260207_003900,1,1024,1024,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.050,0.533,11,0.035,1.611,0.636,1
20260207_003900,2,1024,1024,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.025,0.138,11,0.038,1.080,0.948,1
20260207_003900,3,1024,1024,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2,0.031,0.141,11,0.043,0.985,1.039,1
20260207_003900,4,2048,2048,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.038,0.283,22,0.018,1.528,1.341,1
20260207_003900,5,2048,2048,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.008,0.316,22,0.049,1.781,1.150,1
20260207_003900,6,2048,2048,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4,0.033,0.363,22,0.039,1.348,1.519,1
20260207_003900,7,4096,4096,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.028,0.467,34,0.023,1.398,2.929,1
20260207_003900,8,4096,4096,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.008,0.433,34,0.022,1.428,2.869,1
20260207_003900,9,4096,4096,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8,0.027,0.443,34,0.021,1.342,3.052,1
20260207_003900,10,8192,8192,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.010,0.619,47,0.020,1.470,5.571,1
20260207_003900,11,8192,8192,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.010,0.575,47,0.020,1.481,5.531,1
20260207_003900,12,8192,8192,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16,0.011,0.634,47,0.043,1.547,5.294,1
20260207_003900,13,16384,16384,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.033,0.834,61,0.026,1.717,9.539,1
20260207_003900,14,16384,16384,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.016,0.749,61,0.042,2.099,7.806,1
20260207_003900,15,16384,16384,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32,0.015,0.836,61,0.025,1.774,9.235,1
20260207_003900,16,32768,32768,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.066,0.957,76,0.034,1.944,16.859,1
20260207_003900,17,32768,32768,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.029,0.992,76,0.034,1.978,16.566,1
20260207_003900,18,32768,32768,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,64,0.069,1.012,76,0.053,2.306,14.213,1
20260207_003900,19,65536,65536,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.047,1.274,92,0.058,2.900,22.600,1
20260207_003900,20,65536,65536,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.046,1.147,92,0.057,2.329,28.144,1
20260207_003900,21,65536,65536,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,128,0.046,1.213,92,0.060,2.483,26.396,1
20260207_003900,22,131072,131072,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.084,1.411,109,0.092,2.979,44.003,1
20260207_003900,23,131072,131072,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.084,1.286,109,0.114,2.514,52.131,1
20260207_003900,24,131072,131072,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,256,0.086,1.600,109,0.096,3.090,42.417,1
20260207_003900,25,262144,262144,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.164,2.289,127,0.179,3.838,68.295,1
20260207_003900,26,262144,262144,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.164,2.079,127,0.200,3.503,74.828,1
20260207_003900,27,262144,262144,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,512,0.164,2.060,127,0.184,3.706,70.729,1
20260207_003900,28,524288,524288,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.326,2.442,146,0.385,5.303,98.868,1
20260207_003900,29,524288,524288,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.324,2.344,146,0.361,5.237,100.114,1
20260207_003900,30,524288,524288,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,1024,0.322,2.242,146,0.372,5.173,101.343,1
20260207_003900,31,1048576,1048576,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.657,7.373,166,0.693,14.136,74.177,1
20260207_003900,32,1048576,1048576,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.640,7.320,166,0.680,12.762,82.161,1
20260207_003901,33,1048576,1048576,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,2048,0.640,7.276,166,0.676,12.414,84.468,1
20260207_003901,34,2097152,2097152,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.265,15.727,187,1.333,24.747,84.745,1
20260207_003901,35,2097152,2097152,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.268,15.726,187,1.320,24.362,86.084,1
20260207_003901,36,2097152,2097152,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,4096,1.262,15.732,187,1.325,24.606,85.230,1
20260207_003901,37,4194304,4194304,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.534,34.268,209,2.609,51.615,81.261,1
20260207_003902,38,4194304,4194304,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.518,34.325,209,2.590,50.531,83.004,1
20260207_003902,39,4194304,4194304,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,8192,2.515,34.232,209,2.582,49.765,84.282,1
20260207_003903,40,8388608,8388608,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.026,74.449,232,5.131,106.726,78.600,1
20260207_003904,41,8388608,8388608,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.023,74.162,232,5.122,104.436,80.323,1
20260207_003904,42,8388608,8388608,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,16384,5.022,74.139,232,5.124,106.209,78.982,1
20260207_003906,43,16777216,16777216,0,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.035,162.139,256,10.194,221.236,75.834,1
20260207_003908,44,16777216,16777216,1,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.039,160.587,256,10.227,219.664,76.377,1
20260207_003909,45,16777216,16777216,2,12345,0,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,20,512,32768,10.040,160.647,256,10.213,224.424,74.757,1
